Model,Train Loss,Validation Loss
L27_E10_8_B8_D8_10,0.01635112054646015,0.017381971701979637
L27_E10_8_B8_D10_12,0.019483068957924843,0.02041078358888626
L27_E10_8_B8_D12_14,0.01637430302798748,0.01734296791255474
L27_E10_8_B8_D14_16,0.016229839995503426,0.01712253876030445
L27_E10_8_B8_D16_18,0.016545629128813744,0.017699316143989563
L27_E10_8_B8_D18_20,0.016038134694099426,0.017354749143123627
L27_E10_8_B8_D20_22,0.014380166307091713,0.016145983710885048
L27_E12_10_B8_D8_10,0.017415393143892288,0.018367087468504906
L27_E12_10_B8_D10_12,0.012957308441400528,0.01372518576681614
L27_E12_10_B8_D12_14,0.016922010108828545,0.017908046022057533
L27_E12_10_B8_D14_16,0.01672045700252056,0.017842574045062065
L27_E12_10_B8_D16_18,0.01625795289874077,0.0171748585999012
L27_E12_10_B8_D18_20,0.01188098918646574,0.012830845080316067
L27_E12_10_B8_D20_22,0.01589135266840458,0.017331404611468315
L27_E14_12_B8_D8_10,0.018680056557059288,0.01959582231938839
L27_E14_12_B8_D10_12,0.014646124094724655,0.015776008367538452
L27_E14_12_B8_D12_14,0.012168257497251034,0.01350676454603672
L27_E14_12_B8_D14_16,0.014068854972720146,0.015251656994223595
L27_E14_12_B8_D16_18,0.016161376610398293,0.017045404762029648
L27_E14_12_B8_D18_20,0.013520183973014355,0.0148942731320858
L27_E14_12_B8_D20_22,0.011751492507755756,0.013221204280853271
L27_E16_14_B8_D8_10,0.019568612799048424,0.02059793844819069
L27_E16_14_B8_D10_12,0.014187230728566647,0.015367169864475727
L27_E16_14_B8_D12_14,0.012943197041749954,0.014146741479635239
L27_E16_14_B8_D14_16,0.012414300814270973,0.013775713741779327
L27_E16_14_B8_D16_18,0.01441246084868908,0.014793803915381432
L27_E16_14_B8_D18_20,0.011751934885978699,0.013211866840720177
L27_E16_14_B8_D20_22,0.011846797540783882,0.012707420624792576
L27_E18_16_B8_D8_10,0.015845593065023422,0.016744105145335197
L27_E18_16_B8_D10_12,0.016304152086377144,0.0176774300634861
