Model,Train Loss,Validation Loss
L27_E10_8_B8_D6_8_10_12,0.019324323162436485,0.020469218492507935
L27_E10_8_B8_D8_10_12_14,0.01884509064257145,0.02001008950173855
L27_E10_8_B8_D10_12_14_16,0.016048550605773926,0.017023390159010887
L27_E10_8_B8_D12_14_16_18,0.0183480866253376,0.019687261432409286
L27_E10_8_B8_D14_16_18_20,0.018244164064526558,0.019582808017730713
L27_E10_8_B8_D16_18_20_22,0.018875591456890106,0.02061733789741993
L27_E10_8_B8_D18_20_22_24,0.01777852140367031,0.018931332975625992
L27_E12_10_B8_D6_8_10_12,0.0217658169567585,0.023579465225338936
L27_E12_10_B8_D8_10_12_14,0.019422801211476326,0.020270273089408875
L27_E12_10_B8_D10_12_14_16,0.021136095747351646,0.02320871502161026
L27_E12_10_B8_D12_14_16_18,0.01743827573955059,0.018786119297146797
L27_E12_10_B8_D14_16_18_20,0.013849608600139618,0.01530672237277031
L27_E12_10_B8_D16_18_20_22,0.015996498987078667,0.017534691840410233
L27_E12_10_B8_D18_20_22_24,0.0160363856703043,0.01717158779501915
L27_E14_12_B8_D6_8_10_12,0.019638551399111748,0.020364899188280106
L27_E14_12_B8_D8_10_12_14,0.016624661162495613,0.01788804866373539
L27_E14_12_B8_D10_12_14_16,0.015569744631648064,0.017004109919071198
L27_E14_12_B8_D12_14_16_18,0.01646449603140354,0.017503416165709496
L27_E14_12_B8_D14_16_18_20,0.015914160758256912,0.017160868272185326
L27_E14_12_B8_D16_18_20_22,0.015552431344985962,0.01745212823152542
L27_E14_12_B8_D18_20_22_24,0.012575198896229267,0.013974308967590332
L27_E16_14_B8_D6_8_10_12,0.01860196888446808,0.01959621161222458
L27_E16_14_B8_D8_10_12_14,0.016827987506985664,0.017699195072054863
L27_E16_14_B8_D10_12_14_16,0.016804946586489677,0.01786063425242901
L27_E16_14_B8_D12_14_16_18,0.015720153227448463,0.016991836950182915
L27_E16_14_B8_D14_16_18_20,0.016214577481150627,0.0174441859126091
L27_E16_14_B8_D16_18_20_22,0.016390332952141762,0.017467789351940155
L27_E16_14_B8_D18_20_22_24,0.013393851928412914,0.01479555293917656
L27_E18_16_B8_D6_8_10_12,0.01950233057141304,0.02033390663564205
L27_E18_16_B8_D8_10_12_14,0.01823621429502964,0.019833659753203392
L27_E18_16_B8_D10_12_14_16,0.018680639564990997,0.019879251718521118
L27_E18_16_B8_D12_14_16_18,0.016710501164197922,0.017444735392928123
L27_E18_16_B8_D14_16_18_20,0.015339944511651993,0.016877371817827225
L27_E18_16_B8_D16_18_20_22,0.014193507842719555,0.014949684962630272
L27_E18_16_B8_D18_20_22_24,0.01304697897285223,0.014196042902767658
L27_E20_18_B8_D6_8_10_12,0.01881314255297184,0.020179767161607742
L27_E20_18_B8_D8_10_12_14,0.018231702968478203,0.019579771906137466
L27_E20_18_B8_D10_12_14_16,0.018605031073093414,0.019806159660220146
L27_E20_18_B8_D12_14_16_18,0.018343647941946983,0.019754311069846153
L27_E20_18_B8_D14_16_18_20,0.013964339159429073,0.015010947361588478
L27_E20_18_B8_D16_18_20_22,0.01522658672183752,0.01752544566988945
L27_E20_18_B8_D18_20_22_24,0.010885377414524555,0.012865650467574596
L27_E22_20_B8_D6_8_10_12,0.017172865569591522,0.01842961646616459
L27_E22_20_B8_D8_10_12_14,0.01596030779182911,0.01665693335235119
L27_E22_20_B8_D10_12_14_16,0.014107325114309788,0.01537721510976553
L27_E22_20_B8_D12_14_16_18,0.018374258652329445,0.019528159871697426
L27_E22_20_B8_D14_16_18_20,0.014000519178807735,0.015312602743506432
L27_E22_20_B8_D16_18_20_22,0.014804159291088581,0.015886474400758743
L27_E22_20_B8_D18_20_22_24,0.010064598172903061,0.011109001003205776
L27_E10_8_B10_D6_8_10_12,0.01945675164461136,0.020394913852214813
