Model,Train Loss,Validation Loss
L27_E8_B8_D8_10,0.01761016994714737,0.018689699470996857
L27_E8_B8_D10_12,0.017464838922023773,0.018831342458724976
L27_E8_B8_D12_14,0.019270973280072212,0.02027362585067749
L27_E8_B8_D14_16,0.01195821724832058,0.013024349696934223
L27_E8_B8_D16_18,0.01625889539718628,0.017629610374569893
L27_E8_B8_D18_20,0.013524189591407776,0.014978584833443165
L27_E8_B8_D20_22,0.013695706613361835,0.015260807238519192
L27_E10_B8_D8_10,0.016750887036323547,0.017995456233620644
L27_E10_B8_D10_12,0.013970463536679745,0.014971564523875713
L27_E10_B8_D12_14,0.01568670943379402,0.016396645456552505
L27_E10_B8_D14_16,0.012983997352421284,0.014166472479701042
L27_E10_B8_D16_18,0.016448061913251877,0.017378322780132294
L27_E10_B8_D18_20,0.01006960216909647,0.011079496704041958
L27_E10_B8_D20_22,0.011627440340816975,0.013196575455367565
L27_E12_B8_D8_10,0.014386476948857307,0.01551086362451315
L27_E12_B8_D10_12,0.012652864679694176,0.013359250500798225
L27_E12_B8_D12_14,0.012610911391675472,0.013718748465180397
L27_E12_B8_D14_16,0.013927087187767029,0.015019492246210575
L27_E12_B8_D16_18,0.017629768699407578,0.01886713318526745
L27_E12_B8_D18_20,0.01555619202554226,0.01698637381196022
L27_E12_B8_D20_22,0.01583091914653778,0.01712874509394169
L27_E14_B8_D8_10,0.017145365476608276,0.01827606000006199
L27_E14_B8_D10_12,0.01728140190243721,0.01824020780622959
L27_E14_B8_D12_14,0.016607189550995827,0.01747375912964344
L27_E14_B8_D14_16,0.010378026403486729,0.011426779441535473
L27_E14_B8_D16_18,0.012281634844839573,0.01321857888251543
L27_E14_B8_D18_20,0.012062287889420986,0.012849022634327412
L27_E14_B8_D20_22,0.009731187485158443,0.010821109637618065
L27_E16_B8_D8_10,0.01926184445619583,0.020444724708795547
L27_E16_B8_D10_12,0.01422558631747961,0.01528914738446474
L27_E16_B8_D12_14,0.014251234009861946,0.015227215364575386
L27_E16_B8_D14_16,0.014028100296854973,0.015066585503518581
L27_E16_B8_D16_18,0.011859185062348843,0.012879669666290283
L27_E16_B8_D18_20,0.014673144556581974,0.01589720882475376
L27_E16_B8_D20_22,0.015638442710042,0.01700584404170513
L27_E18_B8_D8_10,0.017020825296640396,0.018274765461683273
L27_E18_B8_D10_12,0.012376852333545685,0.013759588822722435
L27_E18_B8_D12_14,0.014261612668633461,0.015404138714075089
L27_E18_B8_D14_16,0.014275791123509407,0.015670891851186752
L27_E18_B8_D16_18,0.011900193989276886,0.013546277768909931
L27_E18_B8_D18_20,0.012193274684250355,0.013567411340773106
L27_E18_B8_D20_22,0.013424799777567387,0.014378728345036507
L27_E20_B8_D8_10,0.014286059886217117,0.015709301456809044
L27_E20_B8_D10_12,0.014385748654603958,0.015532020479440689
L27_E20_B8_D12_14,0.012070393189787865,0.012813395820558071
L27_E20_B8_D14_16,0.01057781558483839,0.011246802285313606
L27_E20_B8_D16_18,0.010626164264976978,0.0112149054184556
L27_E20_B8_D18_20,0.012088931165635586,0.01337982527911663
L27_E20_B8_D20_22,0.011459831148386002,0.012692511081695557
L27_E8_B10_D8_10,0.014598282985389233,0.015635212883353233
L27_E8_B10_D10_12,0.016848798841238022,0.018097227439284325
L27_E8_B10_D12_14,0.012410357594490051,0.013538389466702938
L27_E8_B10_D14_16,0.012154909782111645,0.01304964255541563
L27_E8_B10_D16_18,0.015918081626296043,0.016931230202317238
L27_E8_B10_D18_20,0.01208256185054779,0.013441338203847408
L27_E8_B10_D20_22,0.01218897383660078,0.013388095423579216
L27_E10_B10_D8_10,0.014650200493633747,0.015342672355473042
L27_E10_B10_D10_12,0.013843480497598648,0.014574474655091763
L27_E10_B10_D12_14,0.01224615890532732,0.013527840375900269
L27_E10_B10_D14_16,0.012814179062843323,0.01418171264231205
L27_E10_B10_D16_18,0.015912916511297226,0.016931694000959396
L27_E10_B10_D18_20,0.012855623848736286,0.013490595854818821
L27_E10_B10_D20_22,0.010355639271438122,0.011408692225813866
L27_E12_B10_D8_10,0.015344253741204739,0.016060737892985344
L27_E12_B10_D10_12,0.015111315064132214,0.01596972346305847
L27_E12_B10_D12_14,0.015825564041733742,0.01683869957923889
L27_E12_B10_D14_16,0.013547760434448719,0.014614151790738106
L27_E12_B10_D16_18,0.0126503836363554,0.01351699884980917
L27_E12_B10_D18_20,0.010276781395077705,0.01126382127404213
L27_E12_B10_D20_22,0.009971004910767078,0.010974756442010403
L27_E14_B10_D8_10,0.01469755545258522,0.01569683663547039
L27_E14_B10_D10_12,0.012977078557014465,0.014102005399763584
L27_E14_B10_D12_14,0.013575936667621136,0.01482089702039957
L27_E14_B10_D14_16,0.010507592931389809,0.011589554138481617
L27_E14_B10_D16_18,0.01628800667822361,0.017132027074694633
L27_E14_B10_D18_20,0.008691392838954926,0.009442280977964401
L27_E14_B10_D20_22,0.010543628595769405,0.011650614440441132
L27_E16_B10_D8_10,0.01429344154894352,0.015398502349853516
L27_E16_B10_D10_12,0.012876974418759346,0.014089888893067837
L27_E16_B10_D12_14,0.011247086338698864,0.01217874325811863
L27_E16_B10_D14_16,0.010317759588360786,0.011367308907210827
L27_E16_B10_D16_18,0.011905818246304989,0.013190972618758678
L27_E16_B10_D18_20,0.010354747995734215,0.011548487469553947
L27_E16_B10_D20_22,0.010272419080138206,0.011275209486484528
L27_E18_B10_D8_10,0.015051471069455147,0.01613779366016388
L27_E18_B10_D10_12,0.012557188980281353,0.013477922417223454
L27_E18_B10_D12_14,0.012206453830003738,0.013499729335308075
L27_E18_B10_D14_16,0.012171207927167416,0.01277440320700407
L27_E18_B10_D16_18,0.012223290279507637,0.013174580410122871
L27_E18_B10_D18_20,0.009895424358546734,0.01093711145222187
L27_E18_B10_D20_22,0.009691011160612106,0.010773341171443462
L27_E20_B10_D8_10,0.014338958077132702,0.015547613613307476
L27_E20_B10_D10_12,0.010608363896608353,0.011859685182571411
L27_E20_B10_D12_14,0.012975824996829033,0.013927441090345383
L27_E20_B10_D14_16,0.008965527638792992,0.009261899627745152
L27_E20_B10_D16_18,0.008754845708608627,0.009910708293318748
L27_E20_B10_D18_20,0.013632934540510178,0.014571832492947578
L27_E20_B10_D20_22,0.011558491736650467,0.01296420581638813
L27_E8_B12_D8_10,0.0146239148452878,0.015706216916441917
L27_E8_B12_D10_12,0.01307273842394352,0.013827009126543999
L27_E8_B12_D12_14,0.014410350471735,0.01568375714123249
L27_E8_B12_D14_16,0.014493804425001144,0.01600218378007412
L27_E8_B12_D16_18,0.01596902124583721,0.017275892198085785
L27_E8_B12_D18_20,0.013881351798772812,0.015248454175889492
L27_E8_B12_D20_22,0.013690297491848469,0.015258160419762135
L27_E10_B12_D8_10,0.015471497550606728,0.01654638908803463
L27_E10_B12_D10_12,0.012705543078482151,0.013933627866208553
L27_E10_B12_D12_14,0.010471753776073456,0.01165770273655653
L27_E10_B12_D14_16,0.010813361965119839,0.01190162543207407
L27_E10_B12_D16_18,0.012090884149074554,0.013367963023483753
L27_E10_B12_D18_20,0.010620670393109322,0.011826712638139725
L27_E10_B12_D20_22,0.010938890278339386,0.012053331360220909
L27_E12_B12_D8_10,0.014871281571686268,0.015830015763640404
L27_E12_B12_D10_12,0.014431373216211796,0.01548931747674942
L27_E12_B12_D12_14,0.013047963380813599,0.014127113856375217
L27_E12_B12_D14_16,0.00936515536159277,0.010459993034601212
L27_E12_B12_D16_18,0.009783802554011345,0.0108414925634861
L27_E12_B12_D18_20,0.008669940754771233,0.009728625416755676
L27_E12_B12_D20_22,0.010220223106443882,0.011009322479367256
L27_E14_B12_D8_10,0.01717478036880493,0.018400756642222404
L27_E14_B12_D10_12,0.010521410033106804,0.011278241872787476
L27_E14_B12_D12_14,0.010467887856066227,0.011536136269569397
L27_E14_B12_D14_16,0.010007797740399837,0.010738357901573181
L27_E14_B12_D16_18,0.010273180902004242,0.011557416059076786
L27_E14_B12_D18_20,0.01086576096713543,0.011681846342980862
L27_E14_B12_D20_22,0.009365340694785118,0.010537032969295979
L27_E16_B12_D8_10,0.01398640125989914,0.015017121098935604
L27_E16_B12_D10_12,0.010296506807208061,0.01147079560905695
L27_E16_B12_D12_14,0.011756157502532005,0.012803560122847557
L27_E16_B12_D14_16,0.011306091211736202,0.012499729171395302
L27_E16_B12_D16_18,0.01038260105997324,0.011439562775194645
L27_E16_B12_D18_20,0.007900649681687355,0.008864025585353374
L27_E16_B12_D20_22,0.00759394746273756,0.008656957186758518
L27_E18_B12_D8_10,0.014606998302042484,0.01561291329562664
L27_E18_B12_D10_12,0.012296886183321476,0.013352972455322742
L27_E18_B12_D12_14,0.010411225259304047,0.011254931800067425
L27_E18_B12_D14_16,0.008784698322415352,0.009694528765976429
L27_E18_B12_D16_18,0.008588236756622791,0.009466664865612984
L27_E18_B12_D18_20,0.007049601059406996,0.007846629247069359
L27_E18_B12_D20_22,0.006113219074904919,0.006791532505303621
L27_E20_B12_D8_10,0.014447701163589954,0.01531209610402584
L27_E20_B12_D10_12,0.014661740511655807,0.01576297916471958
L27_E20_B12_D12_14,0.009528555907309055,0.010427785106003284
L27_E20_B12_D14_16,0.006256630644202232,0.006943728309124708
L27_E20_B12_D16_18,0.007121923379600048,0.007696633692830801
L27_E20_B12_D18_20,0.0067459228448569775,0.007170621305704117
L27_E20_B12_D20_22,0.010214028880000114,0.011641839519143105
L27_E8_B14_D8_10,0.019466020166873932,0.02053021639585495
L27_E8_B14_D10_12,0.014497813768684864,0.015733875334262848
L27_E8_B14_D12_14,0.013416924513876438,0.014162599109113216
L27_E8_B14_D14_16,0.011988375335931778,0.013062854297459126
L27_E8_B14_D16_18,0.010866326279938221,0.011204766109585762
L27_E8_B14_D18_20,0.012481817975640297,0.013265907764434814
L27_E8_B14_D20_22,0.013521942310035229,0.015058937482535839
L27_E10_B14_D8_10,0.015020710416138172,0.0162853691726923
L27_E10_B14_D10_12,0.012859894894063473,0.01370950322598219
L27_E10_B14_D12_14,0.015005005523562431,0.01584279164671898
L27_E10_B14_D14_16,0.010579087771475315,0.01189497485756874
L27_E10_B14_D16_18,0.01144042145460844,0.012508041225373745
L27_E10_B14_D18_20,0.01006533857434988,0.011317023076117039
L27_E10_B14_D20_22,0.006806094199419022,0.007767525967210531
L27_E12_B14_D8_10,0.01676783710718155,0.017643172293901443
L27_E12_B14_D10_12,0.013226618058979511,0.014280468225479126
L27_E12_B14_D12_14,0.012866548262536526,0.013718624599277973
L27_E12_B14_D14_16,0.011881435289978981,0.012628646567463875
L27_E12_B14_D16_18,0.014122750610113144,0.015443778596818447
L27_E12_B14_D18_20,0.008922544308006763,0.009810294955968857
L27_E12_B14_D20_22,0.01004570722579956,0.011420536786317825
L27_E14_B14_D8_10,0.012567192316055298,0.01336616463959217
L27_E14_B14_D10_12,0.011965098790824413,0.013017590157687664
L27_E14_B14_D12_14,0.010706999339163303,0.011874631978571415
L27_E14_B14_D14_16,0.009595864452421665,0.010666798800230026
L27_E14_B14_D16_18,0.007069569081068039,0.007832029834389687
L27_E14_B14_D18_20,0.007217277307063341,0.007917958311736584
L27_E14_B14_D20_22,0.008724816143512726,0.009357231669127941
L27_E16_B14_D8_10,0.016365323215723038,0.017527179792523384
L27_E16_B14_D10_12,0.01473419088870287,0.015850702300667763
L27_E16_B14_D12_14,0.008602687157690525,0.009486163035035133
L27_E16_B14_D14_16,0.010748078115284443,0.011505463160574436
L27_E16_B14_D16_18,0.0069966986775398254,0.007609515450894833
L27_E16_B14_D18_20,0.008230386301875114,0.009137979708611965
L27_E16_B14_D20_22,0.00704322662204504,0.00789543054997921
