y_am_pef,tempin,humidin,pm25in,co2in,tempdiffin,humidiffin,pm25diffin,pm10,pm25,o3,no2,co,so2,temp,windsd,humid,varp,dewpt,airp,seap,solrhr,solramnt,grdt,class
0.3251672,0.6515307,0.59384596,0.502163,0.36870503,0.43085572,0.34430555,0.34537372,0.6660049,0.61214906,0.33543172,0.4929538,0.47035962,0.3916809,0.5546346,0.26651773,0.7128283,0.3999887,0.6034681,0.5621017,0.5343261,0.40043542,0.28623185,0.46141413,0.0
0.22022718,0.45082256,0.24372628,0.19500458,0.19732006,0.72341305,0.3582487,0.48090354,0.4003413,0.13370126,0.25555485,0.18465106,0.20020144,0.1759286,0.25050512,0.44656762,0.31045365,0.06624539,0.24491206,0.75243825,0.7650855,0.6877154,0.17426766,0.1568909,0.0
0.23095773,0.73762554,0.6461676,0.29986504,0.59518206,0.3316454,0.49920195,0.5523148,0.43758413,0.12462674,0.4273884,0.26960465,0.24963075,0.15105471,0.8570913,0.22134063,0.48457792,0.4083457,0.71849215,0.4050458,0.4513683,0.43421587,0.4687224,0.635256,0.0
0.23299547,0.7188773,0.6763291,0.5336811,0.26363984,0.41988808,0.23886506,0.27608323,0.7517269,0.6955365,0.27089792,0.47319,0.46583566,0.33300263,0.5462877,0.18096106,0.82938355,0.32946852,0.6260898,0.5912268,0.566324,0.3260198,0.17185226,0.40765733,0.0
0.32369497,0.3980833,0.2810075,0.28937745,0.31595686,0.71789986,0.4604509,0.4621954,0.4552845,0.20692673,0.36413592,0.27118814,0.29453516,0.29107708,0.28829885,0.48681027,0.31293657,0.12712505,0.28079492,0.7310923,0.7279182,0.66518587,0.29208395,0.22084183,0.0
0.25066662,0.36131784,0.17346653,0.17100528,0.1955526,0.7828419,0.4057251,0.50194556,0.33195677,0.08689738,0.28745496,0.139345,0.16786084,0.17436859,0.20599994,0.54725534,0.21473321,0.050147727,0.20348544,0.788363,0.80778325,0.7228676,0.19273977,0.12554349,0.0
0.3282207,0.37531975,0.25057933,0.26509893,0.3149603,0.7370221,0.47921652,0.47749326,0.42120072,0.17148563,0.3685326,0.2479112,0.271737,0.28054735,0.2739333,0.51600057,0.2706692,0.11352826,0.2589445,0.74241817,0.73918736,0.6869906,0.3015634,0.20692375,0.0
0.2970791,0.27741167,0.15121566,0.18219975,0.25281462,0.83671975,0.49953383,0.5296126,0.32947496,0.07847372,0.35666677,0.159206,0.1944224,0.21339917,0.16961613,0.61328536,0.15215641,0.049355876,0.15158814,0.81338453,0.82337064,0.78333217,0.2588811,0.117740914,0.0
0.33910248,0.42218825,0.30090925,0.30210972,0.33917993,0.6837546,0.46737218,0.4568922,0.45806327,0.22594173,0.36981708,0.28754434,0.30408907,0.30725554,0.3282914,0.4745215,0.3340117,0.15484777,0.31786045,0.7071467,0.6983087,0.63969463,0.31622368,0.25554192,0.0
0.26699516,0.7051698,0.64309204,0.5126754,0.3160298,0.38947505,0.27271184,0.32334378,0.71756196,0.6584983,0.27962983,0.47558984,0.47011507,0.34797108,0.5606704,0.21130529,0.7910495,0.3703935,0.64286053,0.5449375,0.53928393,0.36740938,0.2051611,0.46080658,0.0
0.30843517,0.41004768,0.27737355,0.27521157,0.29741952,0.7124223,0.44295567,0.46437874,0.44697717,0.19525486,0.3461505,0.25481737,0.27830386,0.2717848,0.28850627,0.47949722,0.3168061,0.11840462,0.2835711,0.72953665,0.7311515,0.662936,0.2720487,0.215025,0.0
0.25828156,0.17271437,0.07213254,0.107290655,0.18032025,0.9217001,0.52548784,0.5914669,0.22882634,0.026799401,0.34375164,0.08594489,0.121464536,0.14557317,0.080904685,0.7286419,0.064922206,0.015374695,0.06656528,0.8869654,0.90139335,0.87431324,0.20793371,0.05011875,0.0
0.32556185,0.31540388,0.19530745,0.2259168,0.297159,0.7956009,0.50829005,0.50285494,0.37251744,0.12052555,0.37751013,0.21110055,0.23843344,0.2588022,0.21826074,0.57378024,0.19784005,0.07996871,0.195372,0.7829946,0.77963424,0.7411959,0.3014057,0.16007957,0.0
0.27358478,0.642059,0.46060494,0.3420399,0.2740008,0.4640284,0.3152654,0.38728783,0.53374785,0.38185722,0.26692313,0.31972462,0.3100162,0.2719293,0.5057152,0.30705827,0.6064775,0.24606003,0.54292244,0.59276426,0.5886572,0.45011124,0.22386871,0.36926028,0.0
0.28193533,0.47654858,0.3298591,0.29296058,0.27770147,0.6588245,0.3905617,0.4426332,0.48665267,0.24358791,0.31268877,0.27336362,0.29081526,0.2622296,0.32680246,0.41712332,0.4031005,0.13508052,0.33535743,0.7010455,0.705828,0.6163229,0.2375969,0.23943664,0.0
