,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_300_POP_FOLD_0,0.5102813852813852,0.5357142857142857,0.48484848484848486,0.30612244897959184,0.7111111111111111,0.5086167800453515,0.38961038961038963,0.5765765765765766,0.4830934830934831,0.5102813852813852,0.4642857142857143,0.28888888888888886,0.5151515151515151,0.6938775510204082,0.24193548387096775
SB-001_188_size_100_300_Target_With_POP_FOLD_0,0.48935819927199237,0.4747536945812808,0.5039627039627039,0.2925961082107261,0.6888888888888889,0.4907424985498075,0.3614718614718615,0.5813917365641503,0.4714317990180059,0.48935819927199237,0.5252463054187192,0.3111111111111111,0.49603729603729607,0.7074038917892738,0.22096774193548388
SB-001_188_size_100_300_POP_FOLD_1,0.6204637096774194,0.53125,0.7096774193548387,0.4857142857142857,0.7457627118644068,0.6157384987893463,0.5074626865671641,0.7272727272727273,0.6173677069199457,0.6204637096774194,0.46875,0.2542372881355932,0.2903225806451613,0.5142857142857142,0.34
SB-001_188_size_100_300_Target_With_POP_FOLD_1,0.5979130142589995,0.565625,0.6302010285179991,0.4059006211180124,0.7687146892655368,0.5873076551917746,0.4649989489173849,0.6884226884226884,0.5767108186700367,0.5979130142589995,0.434375,0.2312853107344633,0.3697989714820009,0.5940993788819875,0.30392857142857144
SB-001_188_size_100_300_POP_FOLD_2,0.5559475806451613,0.53125,0.5806451612903226,0.3953488372093023,0.7058823529411765,0.5506155950752394,0.45333333333333325,0.6371681415929203,0.5452507374631268,0.5559475806451613,0.46875,0.29411764705882354,0.41935483870967744,0.6046511627906976,0.29310344827586204
SB-001_188_size_100_300_Target_With_POP_FOLD_2,0.5465245149602618,0.505625,0.5874240299205236,0.34767441860465115,0.7325708061002179,0.5401226123524345,0.4112820512820512,0.6519174041297935,0.5315997277059223,0.5465245149602618,0.494375,0.26742919389978215,0.41257597007947644,0.6523255813953488,0.25975927130774235
SB-003_180_size_100_300_POP_FOLD_0,0.5042067307692308,0.46153846153846156,0.546875,0.2926829268292683,0.7142857142857143,0.5034843205574913,0.35820895522388063,0.6194690265486725,0.4888389908862766,0.5042067307692308,0.5384615384615384,0.2857142857142857,0.453125,0.7073170731707317,0.21818181818181817
SB-003_180_size_100_300_Target_With_POP_FOLD_0,0.4780114454439186,0.4149797570850202,0.5410431338028169,0.23384146341463413,0.7371428571428571,0.48549216027874564,0.29774854540855045,0.6237841000511958,0.4607663227298731,0.4780114454439186,0.5850202429149798,0.26285714285714284,0.4589568661971831,0.7661585365853658,0.1763986013986014
SB-003_180_size_100_300_POP_FOLD_1,0.48186946011281223,0.47058823529411764,0.4931506849315068,0.17777777777777778,0.8,0.48888888888888893,0.25806451612903225,0.6101694915254237,0.43411700382722795,0.48186946011281223,0.5294117647058824,0.2,0.5068493150684932,0.8222222222222222,0.14814814814814814
SB-003_180_size_100_300_Target_With_POP_FOLD_1,0.44053150424995446,0.3602941176470588,0.5207688908528502,0.18888888888888888,0.7090909090909091,0.448989898989899,0.24014336917562723,0.5956830363610024,0.41791320276831484,0.44053150424995446,0.6397058823529411,0.2909090909090909,0.47923110914714984,0.8111111111111111,0.13657407407407407
SB-003_180_size_100_300_POP_FOLD_2,0.4714285714285714,0.5,0.44285714285714284,0.20408163265306123,0.7560975609756098,0.4800895968143355,0.2898550724637681,0.5585585585585585,0.42420681551116335,0.4714285714285714,0.5,0.24390243902439024,0.5571428571428572,0.7959183673469388,0.1694915254237288
SB-003_180_size_100_300_Target_With_POP_FOLD_2,0.4787912087912088,0.39,0.5675824175824176,0.23167044595616024,0.735191637630662,0.4834310417934111,0.27954292084726867,0.6308417792792793,0.455192350063274,0.4787912087912088,0.61,0.26480836236933797,0.43241758241758244,0.7683295540438397,0.16252354048964218
SB-008_178_size_100_300_POP_FOLD_0,0.6735836627140974,0.6956521739130435,0.6515151515151515,0.41025641025641024,0.86,0.6351282051282051,0.5161290322580646,0.7413793103448276,0.6287541713014462,0.6735836627140974,0.30434782608695654,0.14,0.3484848484848485,0.5897435897435898,0.34782608695652173
SB-008_178_size_100_300_Target_With_POP_FOLD_0,0.6587121212121212,0.6728260869565217,0.6445981554677207,0.3761808367071525,0.8613725490196078,0.6187766928633802,0.48220244716351507,0.7373563218390804,0.6097793845012978,0.6587121212121212,0.32717391304347826,0.13862745098039217,0.3554018445322793,0.6238191632928476,0.3183574879227053
SB-008_178_size_100_300_POP_FOLD_1,0.7090800477897252,0.7407407407407407,0.6774193548387096,0.5,0.8571428571428571,0.6785714285714286,0.5970149253731343,0.7567567567567567,0.6768858410649454,0.7090800477897252,0.25925925925925924,0.14285714285714285,0.3225806451612903,0.5,0.425531914893617
SB-008_178_size_100_300_Target_With_POP_FOLD_1,0.6991461882784242,0.6828703703703703,0.7154220061864781,0.4285714285714286,0.8793911007025761,0.6539812646370023,0.5257801899592944,0.7888261395724082,0.6573031647658513,0.6991461882784242,0.31712962962962965,0.12060889929742388,0.2845779938135219,0.5714285714285714,0.3598247809762203
SB-008_178_size_100_300_POP_FOLD_2,0.5951127819548871,0.9473684210526315,0.24285714285714285,0.2535211267605634,0.9444444444444444,0.5989827856025038,0.4,0.38636363636363635,0.3931818181818182,0.5951127819548873,0.05263157894736842,0.05555555555555555,0.7571428571428571,0.7464788732394366,0.25
