,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_100_300,0.5942520821037445,0.5413469735720375,0.6471571906354515,0.39786535303776677,0.7656178750569995,0.5817416140473832,0.4554810565040744,0.6997024267610691,0.5775917416325718,0.5942520821037446,0.45865302642796246,0.23438212494300048,0.35284280936454854,0.6021346469622332,0.29657477025898077
SB-003_100_300,0.471073303220745,0.412227538543328,0.5299190678981619,0.21294903926482875,0.7305226174791392,0.47173582837198397,0.2607572321858036,0.5939539150612488,0.4273555736235262,0.471073303220745,0.587772461456672,0.2694773825208608,0.470080932101838,0.7870509607351712,0.15191703331238215
SB-008_100_300,0.7194493006993007,0.6702020202020202,0.7686965811965812,0.48232323232323243,0.8795982317721448,0.6809607320476886,0.5532245532245533,0.8187080697718997,0.6859663114982264,0.7194493006993007,0.3297979797979798,0.12040176822785519,0.2313034188034188,0.5176767676767677,0.3850292397660819
SB-011_100_300,0.833830287085375,0.7888303323085931,0.8788302418621567,0.7342279942279942,0.9085789871504156,0.8214034906892049,0.759022852639874,0.8931077827646942,0.826065317702284,0.833830287085375,0.21116966769140685,0.09142101284958427,0.12116975813784325,0.26577200577200577,0.6171529619805481
SB-012_100_300,0.7041353710978643,0.6585090176421445,0.7497617245535838,0.5328763440860215,0.8454248366013072,0.6891505903436643,0.5839160839160839,0.792130893722081,0.6880234888190824,0.7041353710978643,0.34149098235785535,0.15457516339869282,0.250238275446416,0.4671236559139785,0.4129330943847073
SB-022_100_300,0.686188630490956,0.6341666666666667,0.7382105943152455,0.5202020202020202,0.8269151138716356,0.6735585670368279,0.560945720382852,0.7753914074090447,0.6681685638959483,0.686188630490956,0.3658333333333333,0.1730848861283644,0.2617894056847545,0.47979797979797983,0.3951494062728768
SB-023_100_300,0.6199587132081411,0.5936096279345707,0.6463077984817115,0.4296675191815857,0.7813956303334745,0.6055315747575302,0.49811248989682877,0.7064170842325278,0.6022647870646783,0.6199587132081411,0.40639037206542933,0.21860436966652544,0.35369220151828845,0.5703324808184144,0.3352723665223665
SB-025_100_300,0.6087662337662337,0.5151515151515151,0.7023809523809524,0.34565826330532207,0.8455590386624868,0.5956086509839046,0.3928571428571428,0.7615334632878491,0.577195303072496,0.6087662337662337,0.48484848484848486,0.15444096133751306,0.2976190476190476,0.6543417366946779,0.25614035087719295
SB-028_100_300,0.651334084358381,0.6428571428571428,0.6598110258596193,0.4406565656565657,0.8033834586466165,0.6220200121515912,0.5015483711135884,0.7140322140322141,0.6077902925729012,0.651334084358381,0.35714285714285715,0.19661654135338344,0.3401889741403808,0.5593434343434344,0.3356921716054843
SB-037_100_300,0.4349852305529382,0.40248538011695906,0.4674850809889173,0.24362745098039218,0.649074074074074,0.4463507625272331,0.30346907281431085,0.5427634381122752,0.42311625546329307,0.43498523055293825,0.5975146198830409,0.3509259259259259,0.5325149190110827,0.7563725490196078,0.18112433823933663
SB-043_100_300,0.6938415506738488,0.678042328042328,0.7096407733053697,0.46276477146042366,0.8443432298695456,0.6535540006649846,0.5486932837792291,0.7710444440862122,0.6598688639327207,0.6938415506738488,0.32195767195767194,0.15565677013045434,0.29035922669463043,0.5372352285395763,0.38632756132756124
SB-056_100_300,0.7062901178134843,0.6394957983193278,0.7730844373076408,0.44166666666666665,0.885374149659864,0.6635204081632653,0.5133074690034998,0.8237828985560384,0.6685451837797691,0.7062901178134843,0.36050420168067226,0.11462585034013606,0.22691556269235916,0.5583333333333332,0.3464285714285715
SB-059_100_300,0.6011454562331755,0.576858813700919,0.6254320987654322,0.33577150818530127,0.8148507822926429,0.5753111452389721,0.4204286365709075,0.7056108133906996,0.5630197249808035,0.6011454562331755,0.42314118629908104,0.18514921770735726,0.3745679012345679,0.6642284918146987,0.2669898728722258
SB-060_100_300,0.7499806778898851,0.719017094017094,0.7809442617626762,0.6,0.8634920634920635,0.7317460317460318,0.6231005709266579,0.807390569446873,0.7152455701867654,0.7499806778898851,0.28098290598290593,0.1365079365079365,0.2190557382373239,0.39999999999999997,0.457521645021645
SB-070_100_300,0.6394195817558079,0.6244360902255639,0.6544030732860521,0.4264367816091954,0.8054736379511732,0.6159552097801843,0.505952380952381,0.7216577540106952,0.6138050674815382,0.6394195817558079,0.3755639097744361,0.19452636204882676,0.345596926713948,0.5735632183908046,0.3504976383265857
SB-071_100_300,0.6639005602240896,0.6027777777777779,0.7250233426704015,0.27777777777777773,0.9094551282051283,0.593616452991453,0.3698412698412698,0.8040158325721519,0.586928551206711,0.6639005602240896,0.3972222222222222,0.0905448717948718,0.2749766573295985,0.7222222222222223,0.22965686274509803
SB-073_100_300,0.4980434186829536,0.4053030303030303,0.5907838070628769,0.2533740769034887,0.7548967236467238,0.5041354002751062,0.3078787878787878,0.662591173549028,0.48523498071390786,0.4980434186829536,0.5946969696969697,0.24510327635327633,0.4092161929371232,0.7466259230965114,0.19322612085769977
SB-078_100_300,0.8054951079622134,0.9029239766081871,0.7080662393162394,0.5684136046454887,0.9353448275862069,0.7518792161158477,0.6946897207766773,0.8055300420972062,0.7501098814369418,0.8054951079622134,0.09707602339181287,0.06465517241379311,0.2919337606837607,0.4315863953545113,0.5322463768115941
SB-079_100_300,0.7112566484083512,0.6542986425339367,0.7682146542827658,0.5183270676691729,0.8430916506556105,0.6807093591623917,0.5628476084538376,0.7995480473092412,0.6811978278815395,0.7112566484083512,0.3457013574660633,0.15690834934438938,0.23178534571723428,0.4816729323308271,0.3929261559696342
SB-080_100_300,0.5373205498205499,0.498015873015873,0.5766252266252266,0.32645161290322583,0.7392629082284254,0.5328572605658256,0.3943089430894309,0.6477222237543243,0.5210155834218776,0.5373205498205499,0.501984126984127,0.2607370917715745,0.4233747733747733,0.6735483870967743,0.24906204906204907
SB-082_100_300,0.6430445326278659,0.5949074074074074,0.6911816578483245,0.5408333333333334,0.7444444444444445,0.6426388888888889,0.5614170086639307,0.712390967636749,0.6369039881503398,0.6430445326278659,0.40509259259259256,0.25555555555555554,0.3088183421516755,0.45916666666666667,0.3939184254026833
SB-083_100_300,0.5815500414775777,0.5846464646464647,0.5784536183086907,0.37812088349722756,0.7602316602316602,0.5691762718644439,0.45820230607966456,0.6562782662180253,0.5572402861488449,0.5815500414775777,0.41535353535353536,0.23976833976833978,0.42154638169130926,0.6218791165027725,0.30414414414414415
SB-112_100_300,0.5936093339284828,0.4948717948717949,0.692346872985171,0.30452241715399614,0.8277971351142083,0.5661597761341022,0.37553921701619686,0.7535920202681687,0.5645656186421827,0.5936093339284828,0.5051282051282051,0.1722028648857917,0.30765312701482916,0.6954775828460039,0.23186716664977536
