,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_300_POP_FOLD_0,0.5091991341991342,0.32142857142857145,0.696969696969697,0.3103448275862069,0.7076923076923077,0.5090185676392573,0.31578947368421056,0.702290076335878,0.5090397750100443,0.5091991341991342,0.6785714285714286,0.2923076923076923,0.30303030303030304,0.6896551724137931,0.1875
SB-001_188_size_100_300_Target_With_POP_FOLD_0,0.5186579225372329,0.35036945812807885,0.686946386946387,0.3270474137931034,0.7086848635235732,0.5178661386583383,0.3382226056945643,0.6976017310813248,0.5179121683879446,0.5186579225372329,0.6496305418719213,0.2913151364764268,0.31305361305361307,0.6729525862068966,0.20375
SB-001_188_size_100_300_POP_FOLD_1,0.5804311774461028,0.4444444444444444,0.7164179104477612,0.3870967741935484,0.7619047619047619,0.5745007680491552,0.41379310344827586,0.7384615384615385,0.5761273209549072,0.5804311774461028,0.5555555555555556,0.23809523809523808,0.2835820895522388,0.6129032258064516,0.2608695652173913
SB-001_188_size_100_300_Target_With_POP_FOLD_1,0.6297989220563848,0.5888888888888888,0.6707089552238805,0.4326788218793829,0.7976190476190477,0.6151489347492153,0.49637023593466423,0.7263736263736265,0.6113719311541453,0.6297989220563848,0.4111111111111111,0.20238095238095238,0.32929104477611937,0.5673211781206171,0.33413848631239934
SB-001_188_size_100_300_POP_FOLD_2,0.5356334841628959,0.6153846153846154,0.45588235294117646,0.3018867924528302,0.7560975609756098,0.5289921767142199,0.4050632911392405,0.5688073394495413,0.48693531529439094,0.5356334841628959,0.38461538461538464,0.24390243902439024,0.5441176470588235,0.6981132075471698,0.25396825396825395
SB-001_188_size_100_300_Target_With_POP_FOLD_2,0.5641557077752524,0.6464019851116625,0.48190943043884216,0.35286647314949204,0.7590011614401858,0.5559338172948389,0.45554369376239134,0.5891655744866754,0.5223546341245333,0.5641557077752524,0.3535980148883375,0.24099883855981416,0.5180905695611577,0.647133526850508,0.29633896569380436
SB-003_180_size_100_300_POP_FOLD_0,0.5898767034393251,0.4782608695652174,0.7014925373134329,0.3548387096774194,0.7966101694915254,0.5757244395844724,0.40740740740740744,0.746031746031746,0.5767195767195767,0.5898767034393251,0.5217391304347826,0.2033898305084746,0.29850746268656714,0.6451612903225806,0.2558139534883721
SB-003_180_size_100_300_Target_With_POP_FOLD_0,0.6154597420939941,0.5345849802371542,0.6963345039508341,0.36859582542694497,0.8179479418886199,0.5932718836577824,0.4358465608465608,0.7520481310803893,0.593947345963475,0.615459742093994,0.4654150197628458,0.18205205811138014,0.30366549604916593,0.631404174573055,0.27906976744186046
SB-003_180_size_100_300_POP_FOLD_1,0.46153846153846156,0.2,0.7230769230769231,0.21739130434782608,0.7014925373134329,0.45944192083062946,0.20833333333333331,0.712121212121212,0.4602272727272727,0.4615384615384615,0.8,0.29850746268656714,0.27692307692307694,0.782608695652174,0.11627906976744186
SB-003_180_size_100_300_Target_With_POP_FOLD_1,0.4664835164835165,0.30000000000000004,0.6329670329670329,0.20869565217391306,0.7307462686567164,0.46972096041531475,0.2375,0.6727272727272726,0.45511363636363633,0.4664835164835165,0.7,0.26925373134328356,0.36703296703296706,0.791304347826087,0.13506261180679785
