,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_100_300,0.532037496495059,0.6186274509803922,0.44544754200972597,0.3292609151136883,0.7266666666666666,0.5279637908901774,0.42552193291109547,0.5466666666666666,0.486094299788881,0.532037496495059,0.3813725490196078,0.2733333333333333,0.554552457990274,0.6707390848863116,0.2704042715484363
SB-003_100_300,0.43060215704592597,0.24253524253524258,0.6186690715566096,0.18250965103390282,0.7118891696316542,0.4471994103327785,0.19883040935672514,0.6565492321589882,0.4276898207578566,0.43060215704592597,0.7574647574647574,0.28811083036834595,0.3813309284433904,0.8174903489660972,0.11135161135161135
SB-008_100_300,0.6396701124961995,0.5982905982905983,0.6810496267018006,0.37128879892037786,0.8457070707070707,0.6084979348137243,0.45770794246403995,0.7538097848175367,0.6057588636407883,0.6396701124961995,0.40170940170940167,0.1542929292929293,0.31895037329819936,0.6287112010796221,0.29914529914529914
SB-011_100_300,0.8413762235356662,0.8437001594896332,0.8390522875816994,0.7045348293595138,0.9261683942535006,0.8153516118065071,0.7599999999999999,0.8775828460038987,0.8187914230019494,0.8413762235356662,0.15629984051036683,0.07383160574649937,0.16094771241830066,0.2954651706404862,0.6176878676878678
SB-012_100_300,0.7490358318268205,0.707843137254902,0.7902285263987391,0.6026455026455028,0.8679125421928927,0.7352790224191977,0.6380338495434227,0.8221526634380133,0.730093256490718,0.7490358318268205,0.29215686274509806,0.13208745780710737,0.2097714736012608,0.39735449735449735,0.4695093795093795
SB-022_100_300,0.6287750449670194,0.5720095693779904,0.6855405205560485,0.42789968652037613,0.7946859903381642,0.6112928384292702,0.48774509803921573,0.735022945348352,0.6113840216937839,0.6287750449670195,0.42799043062200953,0.20531400966183574,0.3144594794439515,0.5721003134796239,0.32936507936507936
SB-023_100_300,0.6126316361725769,0.6013888888888889,0.623874383456265,0.4175824175824176,0.7751461988304094,0.5963643082064135,0.4827438221665477,0.6851248353083624,0.5839343287374551,0.6126316361725769,0.3986111111111111,0.22485380116959064,0.376125616543735,0.5824175824175825,0.3229700854700855
SB-025_100_300,0.6702163624070318,0.6666666666666666,0.6737660581473968,0.3434343434343434,0.8795948203842942,0.6115145819093187,0.43809523809523815,0.7577888687235329,0.5979420534093854,0.6702163624070318,0.3333333333333333,0.12040517961570595,0.32623394185260307,0.6565656565656566,0.28297682709447414
SB-028_100_300,0.584638308551352,0.5298701298701299,0.6394064872325742,0.37156995051731895,0.7789542483660131,0.5752620994416661,0.4166666666666667,0.6880434782608695,0.5523550724637681,0.584638308551352,0.4701298701298702,0.22104575163398696,0.3605935127674258,0.628430049482681,0.2738095238095238
SB-037_100_300,0.4687527448397013,0.4888888888888889,0.44861660079051385,0.27619724988146044,0.6732954545454546,0.47474635221345746,0.34974711521512153,0.5376574901891357,0.44370230270212857,0.46875274483970136,0.5111111111111111,0.32670454545454547,0.5513833992094862,0.7238027501185397,0.21362055933484506
SB-043_100_300,0.7273812342770887,0.7043142043142042,0.750448264239973,0.5045088566827697,0.8771526001705029,0.6908307284266364,0.5737179487179488,0.8038389513108615,0.6887784500144051,0.7273812342770887,0.2956857956857957,0.12284739982949704,0.24955173576002698,0.49549114331723026,0.40884933877147445
SB-056_100_300,0.7653814859277044,0.730952380952381,0.7998105909030278,0.4984744469870328,0.9166505993123172,0.7075625231496749,0.5915747028862479,0.8539230019493177,0.7227488524177828,0.7653814859277044,0.26904761904761904,0.08334940068768276,0.2001894090969721,0.5015255530129672,0.42064457281848594
SB-059_100_300,0.6002742591488391,0.4967722336143388,0.7037762846833395,0.35609232420826625,0.8036479655576697,0.5798701448829681,0.407176973353444,0.7489179722925853,0.5780474728230146,0.6002742591488391,0.5032277663856611,0.19635203444233026,0.2962237153166604,0.6439076757917337,0.2565491759040146
