,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_300_POP_FOLD_0,0.6193704600484262,0.6285714285714286,0.6101694915254238,0.4888888888888889,0.7346938775510204,0.6117913832199546,0.5499999999999999,0.6666666666666667,0.6083333333333334,0.6193704600484262,0.37142857142857144,0.2653061224489796,0.3898305084745763,0.5111111111111111,0.3793103448275862
SB-001_188_size_100_300_Target_With_POP_FOLD_0,0.5805185633575465,0.5642857142857143,0.5967514124293786,0.3785907859078591,0.7635733538698499,0.5710820698888545,0.44960317460317456,0.6693333333333334,0.5594682539682541,0.5805185633575465,0.4357142857142857,0.2364266461301502,0.4032485875706215,0.6214092140921409,0.2954244031830239
SB-001_188_size_100_300_POP_FOLD_1,0.5768049155145929,0.6774193548387096,0.47619047619047616,0.3888888888888889,0.75,0.5694444444444444,0.4941176470588235,0.58252427184466,0.5383209594517417,0.5768049155145929,0.3225806451612903,0.25,0.5238095238095238,0.6111111111111112,0.328125
SB-001_188_size_100_300_Target_With_POP_FOLD_1,0.5958119600197399,0.607940446650124,0.5836834733893557,0.3944444444444445,0.7733050847457628,0.5838747645951036,0.47656702025072323,0.6613408760798103,0.5689539481652668,0.5958119600197399,0.39205955334987597,0.2266949152542373,0.4163165266106443,0.6055555555555556,0.31299867021276595
SB-001_188_size_100_300_POP_FOLD_2,0.49834162520729686,0.4444444444444444,0.5522388059701493,0.2857142857142857,0.7115384615384616,0.49862637362637363,0.34782608695652173,0.6218487394957983,0.48483741322616003,0.49834162520729686,0.5555555555555556,0.28846153846153844,0.44776119402985076,0.7142857142857143,0.21052631578947367
SB-001_188_size_100_300_Target_With_POP_FOLD_2,0.5509937292703151,0.5055555555555555,0.5964319029850746,0.3553571428571428,0.7353988603988604,0.5453780016280017,0.4167701863354037,0.6583819968665432,0.5375760916009735,0.5509937292703151,0.49444444444444446,0.26460113960113957,0.40356809701492535,0.6446428571428571,0.26564051638530284
SB-003_180_size_100_300_POP_FOLD_0,0.5229653505237711,0.47058823529411764,0.5753424657534246,0.20512820512820512,0.8235294117647058,0.5143288084464555,0.28571428571428564,0.6774193548387097,0.48156682027649766,0.5229653505237711,0.5294117647058824,0.17647058823529413,0.4246575342465753,0.7948717948717948,0.16666666666666666
SB-003_180_size_100_300_Target_With_POP_FOLD_0,0.5065863618978302,0.46743697478991597,0.5457357490057446,0.253726893261777,0.7521902377972465,0.5029585655295117,0.3259557344064386,0.6322876590707309,0.4791216967385848,0.5065863618978302,0.532563025210084,0.24780976220275347,0.4542642509942554,0.746273106738223,0.1954022988505747
SB-003_180_size_100_300_POP_FOLD_1,0.5076923076923077,0.4,0.6153846153846154,0.2857142857142857,0.7272727272727273,0.5064935064935066,0.3333333333333333,0.6666666666666667,0.5,0.5076923076923077,0.6,0.2727272727272727,0.38461538461538464,0.7142857142857143,0.2
SB-003_180_size_100_300_Target_With_POP_FOLD_1,0.5056318681318681,0.225,0.7862637362637364,0.26785714285714285,0.7531712473572939,0.5105141951072184,0.20833333333333331,0.7628205128205129,0.48557692307692313,0.5056318681318681,0.7749999999999999,0.24682875264270612,0.21373626373626375,0.7321428571428572,0.12173913043478261
