,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_100_300,0.623859344650279,0.6590177133655395,0.5887009759350185,0.4052287581699347,0.8090290935118521,0.6071289258408934,0.4975104427736006,0.6783126971658002,0.5879115699697004,0.623859344650279,0.34098228663446056,0.19097090648814785,0.4112990240649815,0.5947712418300654,0.33754068428991024
SB-003_100_300,0.42349081303168656,0.3116550116550117,0.5353266144083614,0.18301404853128989,0.7016385048643112,0.44232627669780067,0.2134920634920635,0.5963675213675214,0.4049297924297924,0.42349081303168656,0.6883449883449883,0.2983614951356887,0.4646733855916387,0.8169859514687102,0.11974380395433026
SB-008_100_300,0.6647614171897244,0.665954415954416,0.6635684184250327,0.3974206349206349,0.8626740018337918,0.6300473183772133,0.4935636856368564,0.7467291967291967,0.6201464411830265,0.6647614171897244,0.33404558404558404,0.1373259981662082,0.3364315815749673,0.602579365079365,0.3286706349206349
SB-011_100_300,0.7837829135847212,0.7610084033613446,0.8065574238080977,0.6365079365079365,0.8873931623931623,0.7619505494505493,0.6902806405581101,0.843765490181608,0.767023065369859,0.7837829135847212,0.23899159663865546,0.11260683760683761,0.1934425761919023,0.36349206349206353,0.5271597967250141
SB-012_100_300,0.7362770104931359,0.6484405458089668,0.824113475177305,0.6129084967320262,0.8495370370370371,0.7312227668845316,0.6277408637873755,0.8358674463937622,0.7318041550905687,0.7362770104931359,0.3515594541910332,0.150462962962963,0.17588652482269504,0.3870915032679738,0.457716049382716
SB-022_100_300,0.691138941578871,0.7393483709273183,0.642929512230424,0.469226830517153,0.8520554046869836,0.6606411176020685,0.5734827264239029,0.7322845417236662,0.6528836340737846,0.6911389415788712,0.2606516290726817,0.14794459531301637,0.3570704877695759,0.5307731694828468,0.40231660231660227
SB-023_100_300,0.603237291249305,0.5846929824561403,0.6217816000424696,0.410004675081814,0.7647058823529411,0.5873552787173776,0.48051282051282057,0.6851139601139601,0.5828133903133904,0.603237291249305,0.4153070175438596,0.2352941176470588,0.37821839995753037,0.5899953249181861,0.3163742690058479
SB-025_100_300,0.6992883908206489,0.6123737373737373,0.7862030442675604,0.44145299145299144,0.8798506729541212,0.6606518322035564,0.4974937343358395,0.8277502640294482,0.6626219991826439,0.6992883908206489,0.3876262626262626,0.12014932704587877,0.2137969557324396,0.5585470085470087,0.3333333333333333
SB-028_100_300,0.42543479911900967,0.24978354978354977,0.6010860484544694,0.21798941798941798,0.6489304812834225,0.4334599496364202,0.2255639097744361,0.6188945610386337,0.4222292354065349,0.42543479911900967,0.7502164502164502,0.35106951871657754,0.3989139515455305,0.782010582010582,0.13203761036578374
SB-037_100_300,0.4717433556183725,0.3653508771929825,0.5781358340437625,0.27257495590828923,0.6790143964562568,0.4757946761822731,0.31132664437012264,0.6240884017479763,0.46770752305904945,0.4717433556183725,0.6346491228070176,0.32098560354374306,0.4218641659562376,0.7274250440917108,0.1853974259115018
SB-043_100_300,0.7076483486806172,0.710239651416122,0.7050570459451126,0.4760683760683761,0.8681441767978052,0.6721062764330906,0.5685251441065396,0.7770227631282398,0.6727739536173898,0.7076483486806172,0.289760348583878,0.13185582320219488,0.2949429540548874,0.523931623931624,0.3972395409776814
SB-056_100_300,0.7682264957264957,0.75,0.7864529914529914,0.47937621832358673,0.9198067632850241,0.6995914908043055,0.5784813076334099,0.8460421277925118,0.7122617177129609,0.7682264957264957,0.25,0.08019323671497584,0.21354700854700856,0.5206237816764133,0.4122610722610723
SB-059_100_300,0.5846542695599299,0.5662337662337662,0.6030747728860936,0.3223905723905724,0.8147109241078386,0.5685507482492055,0.40795818307062687,0.6906787169945066,0.5493184500325667,0.5846542695599299,0.43376623376623374,0.18528907589216145,0.3969252271139063,0.6776094276094277,0.26167569461287626
SB-060_100_300,0.72487922705314,0.6851851851851852,0.764573268921095,0.5825396825396826,0.8329611908559277,0.7077504366978052,0.6141975308641975,0.7936507936507936,0.7039241622574955,0.72487922705314,0.31481481481481477,0.1670388091440723,0.235426731078905,0.4174603174603175,0.4433811802232855
SB-070_100_300,0.5890973536477351,0.5544444444444444,0.6237502628510256,0.3860716700473293,0.7686886756654198,0.5773801728563746,0.4449712544950641,0.68384484228474,0.564408048389902,0.5890973536477351,0.44555555555555554,0.23131132433458013,0.37624973714897436,0.6139283299526707,0.28787323909275125
SB-071_100_300,0.6534985615867969,0.6488095238095238,0.6581875993640699,0.25765393876848985,0.9081500916208562,0.582902015194673,0.3590457625545345,0.7604165240058252,0.5597311432801798,0.6534985615867969,0.3511904761904762,0.09184990837914377,0.34181240063593005,0.74234606123151,0.22020202020202018
SB-073_100_300,0.6293650793650793,0.6,0.6587301587301587,0.3753501400560224,0.8361175861175862,0.6057338630868042,0.4577962672486304,0.7336752136752137,0.595735740461922,0.6293650793650793,0.39999999999999997,0.16388241388241387,0.3412698412698412,0.6246498599439776,0.30032855436081246
SB-078_100_300,0.743887717030132,0.7417043740573153,0.7460710600029486,0.5574795574795575,0.8677812608847092,0.7126304091821333,0.6363981847852815,0.802325061479991,0.7193616231326363,0.7438877170301318,0.2582956259426848,0.13221873911529083,0.25392893999705146,0.44252044252044254,0.46687830687830684
SB-079_100_300,0.6707647302474888,0.6444444444444444,0.6970850160505333,0.4587991718426501,0.8321885521885521,0.6454938620156011,0.5295739348370927,0.7556986729117877,0.6426363038744403,0.670764730247489,0.35555555555555557,0.16781144781144783,0.30291498394946675,0.5412008281573498,0.36372269705603033
SB-080_100_300,0.5802291696965759,0.5655314757481941,0.5949268636449577,0.36672008547008544,0.7692697768762677,0.5679949311731766,0.4427041277215493,0.6690048744773905,0.5558545010994699,0.5802291696965759,0.434468524251806,0.23073022312373226,0.40507313635504216,0.6332799145299145,0.2851424461331582
SB-082_100_300,0.6230624256940046,0.5253411306042884,0.7207837207837208,0.5247863247863248,0.7092290425623758,0.6170076836743503,0.5192465192465193,0.7126834381551364,0.6159649787008278,0.6230624256940046,0.4746588693957115,0.2907709574376241,0.2792162792162793,0.47521367521367525,0.3590740740740741
SB-083_100_300,0.6272798008092125,0.6484593837535014,0.6061002178649236,0.41244083840432727,0.8028011204481792,0.6076209794262533,0.4998441686565993,0.688400661469407,0.5941224150630031,0.6272798008092125,0.3515406162464985,0.1971988795518207,0.3938997821350762,0.5875591615956727,0.3410239507800483
SB-112_100_300,0.6130777892552369,0.4901960784313726,0.7359595000791014,0.33954451345755693,0.838429775929776,0.5889871446936664,0.39354780813927404,0.7815033340935185,0.5875255711163961,0.6130777892552369,0.5098039215686274,0.16157022407022406,0.26404049992089856,0.660455486542443,0.24548408057179985
