,SB-078
Weighted Accuracy,0.6983077745268149
Sensitivity/Recall,0.6792043740573153
Specificity,0.7174111749963142
Precision_class0,0.5119091847265221
Precision_class1,0.8360199849170437
Precision_avg,0.6739645848217829
F1_class0,0.5806277056277055
F1_class1,0.7703933747412007
F1_avg,0.6755105401844532
auc_roc_score,0.6983077745268148
False_Discovery_Rate,0.3207956259426848
False_Negative_Rate,0.16398001508295626
False_Omission_Rate,0.28258882500368565
False_Positive_Rate,0.4880908152734778
Jaccard,0.40984848484848485
