,SB-078
Weighted Accuracy,0.7117724867724867
Sensitivity/Recall,0.6203703703703703
Specificity,0.8031746031746031
Precision_class0,0.574025974025974
Precision_class1,0.8374581478029753
Precision_avg,0.7057420609144748
F1_class0,0.5910608086804309
F1_class1,0.8190992482823711
F1_avg,0.705080028481401
auc_roc_score,0.7117724867724867
False_Discovery_Rate,0.3796296296296296
False_Negative_Rate,0.16254185219702463
False_Omission_Rate,0.1968253968253968
False_Positive_Rate,0.42597402597402595
Jaccard,0.44162129461585
