,SB-078
Weighted Accuracy,0.7677891936620606
Sensitivity/Recall,0.7455108359133128
Specificity,0.7900675514108082
Precision_class0,0.6010822510822511
Precision_class1,0.871488841455471
Precision_avg,0.736285546268861
F1_class0,0.6643228594448106
F1_class1,0.8287795992714025
F1_avg,0.7465512293581066
auc_roc_score,0.7677891936620606
False_Discovery_Rate,0.2544891640866873
False_Negative_Rate,0.12851115854452896
False_Omission_Rate,0.20993244858919177
False_Positive_Rate,0.3989177489177489
Jaccard,0.5
