,SB-078
Weighted Accuracy,0.4892339142339142
Sensitivity/Recall,0.5648148148148149
Specificity,0.41365301365301366
Precision_class0,0.29415954415954415
Precision_class1,0.6711111111111112
Precision_avg,0.4826353276353276
F1_class0,0.38559361366378914
F1_class1,0.5083333333333333
F1_avg,0.4469634734985612
auc_roc_score,0.4892339142339142
False_Discovery_Rate,0.4351851851851852
False_Negative_Rate,0.32888888888888884
False_Omission_Rate,0.5863469863469863
False_Positive_Rate,0.7058404558404558
Jaccard,0.23897150758277805
