,SB-078
Weighted Accuracy,0.7059784757153178
Sensitivity/Recall,0.7008547008547009
Specificity,0.7111022505759349
Precision_class0,0.5115942028985506
Precision_class1,0.8437019969278033
Precision_avg,0.677648099913177
F1_class0,0.5879851143009037
F1_class1,0.7705314009661834
F1_avg,0.6792582576335436
auc_roc_score,0.7059784757153178
False_Discovery_Rate,0.29914529914529914
False_Negative_Rate,0.15629800307219663
False_Omission_Rate,0.2888977494240652
False_Positive_Rate,0.4884057971014492
Jaccard,0.4178213091256569
