,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_100_100_POP_FOLD_0,0.5275151039436753,0.3706293706293707,0.6844008372579801,0.19612708607016008,0.8214562999112688,0.5087916929907145,0.24493284493284495,0.7386621315192743,0.4917974882260596,0.5275151039436753,0.6293706293706295,0.17854370008873113,0.3155991627420199,0.80387291392984,0.1432461873638344
SB-001_100_100_POP_FOLD_1,0.6364447457304601,0.5291375291375292,0.7437519623233909,0.349554367201426,0.8692566692566693,0.6094055182290476,0.3963414634146341,0.7931303017660966,0.5947358825903654,0.63644474573046,0.4708624708624709,0.13074333074333075,0.25624803767660914,0.6504456327985739,0.24813596491228065
SB-003_100_100_POP_FOLD_0,0.37005471380471383,0.17916666666666667,0.560942760942761,0.11782661782661781,0.684514831573655,0.4011707247001364,0.14189514189514188,0.6162687886825817,0.3790819652888618,0.37005471380471383,0.8208333333333333,0.3154851684263449,0.4390572390572391,0.8821733821733821,0.07772435897435898
SB-003_100_100_POP_FOLD_1,0.46434369202226344,0.331439393939394,0.597247990105133,0.2074786324786325,0.7436274509803922,0.47555304172951235,0.254915514592934,0.6623379429559205,0.45862672877442723,0.46434369202226344,0.6685606060606061,0.2563725490196078,0.4027520098948671,0.7925213675213675,0.1492511320097527
SB-008_100_100_POP_FOLD_0,0.667153510955088,0.6468671679197996,0.6874398539903765,0.41194653299916456,0.8552608311229001,0.6336036820610323,0.48535353535353537,0.7545751633986928,0.6199643493761141,0.667153510955088,0.35313283208020046,0.14473916887709992,0.3125601460096234,0.5880534670008354,0.32674571805006586
SB-008_100_100_POP_FOLD_1,0.5435683479161739,0.5384615384615384,0.5486751573708095,0.2743824802648332,0.7882324011356271,0.5313074407002301,0.360638388512953,0.6433543272353913,0.5019963578741722,0.5435683479161739,0.4615384615384615,0.21176759886437305,0.4513248426291905,0.7256175197351667,0.22032420984033887
SB-011_100_100_POP_FOLD_0,0.669714206400201,0.5657675657675657,0.7736608470328363,0.348758369353335,0.8885305349635763,0.6186444521584556,0.4264705882352941,0.8262287444677382,0.6263496663515161,0.669714206400201,0.4342324342324342,0.11146946503642374,0.22633915296716367,0.651241630646665,0.2787301587301587
SB-011_100_100_POP_FOLD_1,0.7245408497600199,0.6696969696969698,0.7793847298230699,0.41797283176593525,0.9157204934118307,0.6668466625888829,0.49549549549549554,0.8373619015734851,0.6664286985344904,0.7245408497600199,0.3303030303030303,0.08427950658816934,0.22061527017693003,0.5820271682340648,0.32936507936507936
SB-012_100_100_POP_FOLD_0,0.7173837171439678,0.6844193817878028,0.7503480525001329,0.5358024691358024,0.8469785575048733,0.6913905133203379,0.583575593331691,0.7905182265513582,0.6870469099415245,0.7173837171439678,0.31558061821219713,0.1530214424951267,0.24965194749986716,0.4641975308641975,0.4131944444444444
SB-012_100_100_POP_FOLD_1,0.7683269572804456,0.7746031746031746,0.7620507399577167,0.5744301994301995,0.8894961763382816,0.7319631878842405,0.6538331644714623,0.8193683826213946,0.7366007735464284,0.7683269572804456,0.2253968253968254,0.1105038236617184,0.2379492600422833,0.42556980056980054,0.48888888888888893
