,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_100_POP_FOLD_0,0.4779040404040404,0.6363636363636364,0.3194444444444444,0.2222222222222222,0.7419354838709677,0.482078853046595,0.32941176470588235,0.4466019417475728,0.38800685322672757,0.4779040404040404,0.36363636363636365,0.25806451612903225,0.6805555555555556,0.7777777777777778,0.19718309859154928
SB-001_188_size_100_100_Target_With_POP_FOLD_0,0.4990786024805012,0.7181818181818183,0.2799753867791842,0.19444444444444442,0.8027859237536656,0.49861518409905503,0.3026369168356998,0.4114197827549745,0.35702834979533715,0.4990786024805012,0.28181818181818186,0.1972140762463343,0.7200246132208158,0.8055555555555556,0.17859154929577464
SB-001_188_size_100_100_POP_FOLD_1,0.4707602339181287,0.3888888888888889,0.5526315789473685,0.17073170731707318,0.7924528301886793,0.48159226875287625,0.23728813559322035,0.6511627906976745,0.4442254631454474,0.47076023391812866,0.6111111111111112,0.20754716981132076,0.4473684210526316,0.8292682926829268,0.1346153846153846
SB-001_188_size_100_100_Target_With_POP_FOLD_1,0.5829239766081872,0.5628654970760234,0.602982456140351,0.2603658536585366,0.8499301187980434,0.55514798622829,0.3559322033898305,0.7054263565891473,0.5306792799894889,0.5829239766081872,0.4371345029239766,0.1500698812019567,0.39701754385964916,0.7396341463414634,0.22286324786324785
SB-001_188_size_100_100_POP_FOLD_2,0.5670886075949367,0.4,0.7341772151898734,0.2222222222222222,0.8656716417910447,0.5439469320066335,0.2857142857142857,0.7945205479452054,0.5401174168297456,0.5670886075949367,0.6,0.13432835820895522,0.26582278481012656,0.7777777777777778,0.16666666666666666
SB-001_188_size_100_100_Target_With_POP_FOLD_2,0.5502741017772663,0.2681818181818182,0.8323663853727146,0.2986111111111111,0.8223707046164526,0.5604909078637819,0.24285714285714283,0.8213109068839951,0.5320840248705689,0.5502741017772663,0.7318181818181818,0.17762929538354738,0.1676336146272855,0.7013888888888888,0.1388888888888889
SB-003_180_size_100_100_POP_FOLD_0,0.5018939393939394,0.2916666666666667,0.7121212121212122,0.2692307692307692,0.734375,0.5018028846153846,0.27999999999999997,0.7230769230769231,0.5015384615384615,0.5018939393939394,0.7083333333333334,0.265625,0.2878787878787879,0.7307692307692307,0.16279069767441862
SB-003_180_size_100_100_Target_With_POP_FOLD_0,0.502429549385628,0.30372807017543857,0.7011310285958173,0.24175824175824173,0.7623487903225806,0.5020535160404112,0.2676595744680851,0.7299595141700405,0.49880954431906277,0.502429549385628,0.6962719298245614,0.23765120967741937,0.29886897140418267,0.7582417582417582,0.15456608054452636
SB-003_180_size_100_100_POP_FOLD_1,0.49689440993788814,0.42857142857142855,0.5652173913043478,0.23076923076923078,0.7647058823529411,0.497737556561086,0.3,0.65,0.475,0.4968944099378882,0.5714285714285714,0.23529411764705882,0.43478260869565216,0.7692307692307693,0.17647058823529413
SB-003_180_size_100_100_Target_With_POP_FOLD_1,0.4964418573753612,0.3279220779220779,0.6649616368286444,0.23443223443223443,0.7591645353793691,0.4967983849058018,0.26627906976744187,0.7045620437956205,0.4854205567815312,0.4964418573753612,0.672077922077922,0.24083546462063088,0.3350383631713555,0.7655677655677655,0.1540247678018576
SB-003_180_size_100_100_POP_FOLD_2,0.510351966873706,0.23809523809523808,0.782608695652174,0.25,0.7714285714285715,0.5107142857142857,0.24390243902439024,0.7769784172661871,0.5104404281452887,0.510351966873706,0.7619047619047619,0.22857142857142856,0.21739130434782608,0.75,0.1388888888888889
SB-003_180_size_100_100_Target_With_POP_FOLD_2,0.45905298878444656,0.23268398268398266,0.6854219948849105,0.20075757575757575,0.7365914786967418,0.46867452722715874,0.21286031042128603,0.7084892086330935,0.4606747595271898,0.45905298878444656,0.7673160173160173,0.26340852130325815,0.3145780051150895,0.7992424242424243,0.11944444444444445
SB-008_178_size_100_100_POP_FOLD_0,0.5871794871794871,0.6666666666666666,0.5076923076923077,0.3333333333333333,0.8048780487804879,0.5691056910569106,0.4444444444444444,0.6226415094339622,0.5335429769392033,0.5871794871794872,0.3333333333333333,0.1951219512195122,0.49230769230769234,0.6666666666666666,0.2857142857142857
SB-008_178_size_100_100_Target_With_POP_FOLD_0,0.6336273375747059,0.6491228070175439,0.6181318681318682,0.3602150537634409,0.842094196804037,0.601154625283739,0.4622222222222222,0.7097582547169812,0.5859902384696016,0.6336273375747059,0.3508771929824561,0.157905803195963,0.38186813186813184,0.6397849462365591,0.3007518796992481
SB-008_178_size_100_100_POP_FOLD_1,0.5,0.0,1.0,0.0,0.7752808988764045,0.38764044943820225,0.0,0.8734177215189874,0.4367088607594937,0.5,1.0,0.2247191011235955,0.0,0.0,0.0
SB-008_178_size_100_100_Target_With_POP_FOLD_1,0.5077404479578392,0.32608695652173914,0.6893939393939394,0.13392857142857142,0.7664283282260811,0.45017844982732624,0.189873417721519,0.6892341132847463,0.43955376550313263,0.5077404479578392,0.6739130434782609,0.23357167177391897,0.3106060606060606,0.36607142857142855,0.1171875
SB-008_178_size_100_100_POP_FOLD_2,0.5105072463768116,0.05,0.9710144927536232,0.3333333333333333,0.7790697674418605,0.5562015503875969,0.08695652173913045,0.8645161290322582,0.4757363253856943,0.5105072463768117,0.95,0.22093023255813954,0.028985507246376812,0.6666666666666666,0.045454545454545456
SB-008_178_size_100_100_Target_With_POP_FOLD_2,0.47643280632411067,0.4597826086956522,0.49308300395256915,0.28431372549019607,0.5145348837209303,0.39942430460556316,0.22866344605475042,0.44654377880184337,0.3376036124282969,0.47643280632411067,0.5402173913043478,0.48546511627906974,0.5069169960474308,0.7156862745098038,0.13636363636363635
