,Weighted Accuracy,Sensitivity/Recall,Specificity,Precision_class0,Precision_class1,Precision_avg,F1_class0,F1_class1,F1_avg,auc_roc_score,False_Discovery_Rate,False_Negative_Rate,False_Omission_Rate,False_Positive_Rate,Jaccard
SB-001_188_size_100_100_POP_FOLD_0,0.5,0.0,1.0,0.0,0.8191489361702128,0.4095744680851064,0.0,0.9005847953216375,0.45029239766081874,0.5,1.0,0.18085106382978725,0.0,0.0,0.0
SB-001_188_size_100_100_Target_With_POP_FOLD_0,0.4922297297297297,0.275,0.7094594594594594,0.10185185185185185,0.7970744680851064,0.44946315996847913,0.14864864864864866,0.7222222222222222,0.43543543543543545,0.4922297297297297,0.725,0.20292553191489363,0.2905405405405405,0.39814814814814814,0.0873015873015873
SB-001_188_size_100_100_POP_FOLD_1,0.5,1.0,0.0,0.22340425531914893,0.0,0.11170212765957446,0.3652173913043478,0.0,0.1826086956521739,0.5,0.0,0.0,1.0,0.776595744680851,0.22340425531914893
SB-001_188_size_100_100_Target_With_POP_FOLD_1,0.47876602564102566,0.65625,0.30128205128205127,0.1811465721040189,0.4051724137931034,0.29315949294856114,0.27876254180602006,0.3455882352941176,0.3121753885500688,0.47876602564102566,0.34375,0.09482758620689655,0.6987179487179487,0.8188534278959811,0.16489361702127658
SB-001_188_size_100_100_POP_FOLD_2,0.5,1.0,0.0,0.19148936170212766,0.0,0.09574468085106383,0.32142857142857145,0.0,0.16071428571428573,0.5,0.0,0.0,1.0,0.8085106382978723,0.19148936170212766
SB-001_188_size_100_100_Target_With_POP_FOLD_2,0.5,1.0,0.0,0.19680851063829785,0.0,0.09840425531914893,0.3288558786346397,0.0,0.16442793931731986,0.5,0.0,0.0,1.0,0.803191489361702,0.19680851063829785
SB-003_180_size_100_100_POP_FOLD_0,0.46553002223869533,0.5789473684210527,0.352112676056338,0.19298245614035087,0.7575757575757576,0.4752791068580542,0.2894736842105263,0.4807692307692308,0.3851214574898786,0.46553002223869533,0.42105263157894735,0.24242424242424243,0.647887323943662,0.8070175438596491,0.16923076923076924
SB-003_180_size_100_100_Target_With_POP_FOLD_0,0.49507561717995374,0.4353070175438597,0.5548442168160478,0.2486651411136537,0.7519222071460878,0.5002936741298707,0.2936730123180291,0.6163244650086754,0.45499873866335233,0.49507561717995374,0.5646929824561404,0.24807779285391227,0.4451557831839522,0.7513348588863462,0.17211538461538461
SB-003_180_size_100_100_POP_FOLD_1,0.5,1.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.3636363636363636,0.0,0.1818181818181818,0.5,0.0,0.0,1.0,0.7777777777777778,0.2222222222222222
SB-003_180_size_100_100_Target_With_POP_FOLD_1,0.4962686567164179,0.5,0.4925373134328358,0.1111111111111111,0.3707865168539326,0.24094881398252185,0.1818181818181818,0.4230769230769231,0.30244755244755245,0.4962686567164179,0.5,0.12921348314606743,0.5074626865671642,0.8888888888888888,0.1111111111111111
